model,norm_ll,pred_time,roc_auc,source,target,train_norm_ll,train_roc_auc,train_time
Logistic Regression,0.81842613181,6.103515625e-05,0.9950857536,from scratch,3,0.853961659132,0.998983663798,6.67254281044
Logistic Regression,0.796379445834,0.000195980072021,0.990564646911,sklearn,3,0.964021793508,0.999981294426,0.0360889434814
Decision Tree,0.407842427711,0.00326204299927,0.971202516094,from scratch,3,0.805832795896,0.993116348672,7.08218598366
Decision Tree,0.0987488774422,0.000253915786743,0.960636886333,sklearn,3,0.877662516824,0.996988402544,0.00799989700317
Random Forest,0.665978101347,0.162807941437,0.995134896064,from scratch,3,0.692188143096,0.998353909465,54.7290239334
Random Forest,0.645720386639,0.0365340709686,0.99238291808,sklearn,3,0.678860165262,0.998422496571,0.221482038498
Logistic Regression,0.905825425951,6.07967376709e-05,0.997421124829,from scratch,4,0.933258531121,0.999174236168,6.72945308685
Logistic Regression,0.963204030737,0.000198125839233,0.999890260631,sklearn,4,0.98911066412,1.0,0.035749912262
Decision Tree,0.111979488307,0.00408411026001,0.94524005487,from scratch,4,0.866851898984,0.997213047069,7.89178395271
Decision Tree,-0.131145193679,0.000247001647949,0.919561042524,sklearn,4,0.92573404297,0.998986010589,0.0101609230042
Random Forest,0.7710357257,0.153299808502,0.997146776406,from scratch,4,0.819487530827,0.999234954097,54.327860117
Random Forest,0.746115426092,0.0334100723267,0.996323731139,sklearn,4,0.797591012827,0.999417107884,0.2336769104
Logistic Regression,0.908029572283,6.00814819336e-05,0.999892380542,from scratch,5,0.901870070189,0.999277456647,6.8535888195
Logistic Regression,0.955678300811,0.000355005264282,0.999623331898,sklearn,5,0.979874612755,1.0,0.0365550518036
Decision Tree,0.658017776546,0.00334286689758,0.977292294447,from scratch,5,0.844065973803,0.997947734007,6.73356294632
Decision Tree,0.776349000492,0.000247955322266,0.977399913904,sklearn,5,0.882730060007,0.997225190654,0.00893902778625
Random Forest,0.767397558227,0.147258996964,0.99956952217,from scratch,5,0.77944294848,0.998919220868,56.3691689968
Random Forest,0.759035343939,0.0344247817993,0.999246663797,sklearn,5,0.77176159223,0.999162092583,0.220168113708
Logistic Regression,0.944080966858,6.103515625e-05,0.999941643324,from scratch,6,0.92813618297,0.999565248463,6.79725408554
Logistic Regression,0.974248273596,0.000287055969238,0.999883286648,sklearn,6,0.982642825269,1.0,0.0358228683472
Decision Tree,0.929639583155,0.00262784957886,0.997549019608,from scratch,6,0.908013503645,0.9976177998,6.23172211647
Decision Tree,0.92397437275,0.000176906585693,0.998482726424,sklearn,6,0.934306505042,0.9988088999,0.00589609146118
Random Forest,0.843591944159,0.159478902817,0.999941643324,from scratch,6,0.840531443707,0.99952951546,54.0792200565
Random Forest,0.846595085668,0.037083864212,0.999941643324,sklearn,6,0.844369486476,0.999624803468,0.221398115158
Logistic Regression,0.92079646799,6.00814819336e-05,1.0,from scratch,7,0.91370273749,0.999262984479,6.75044083595
Logistic Regression,0.970332268632,0.00020694732666,1.0,sklearn,7,0.9782354005,0.999993806592,0.0394198894501
Decision Tree,0.415726379578,0.00344681739807,0.97939087387,from scratch,7,0.885537584231,0.997832307292,5.72038912773
Decision Tree,-0.350809346543,0.000174999237061,0.939087387,sklearn,7,0.935717907425,0.999238210848,0.00553822517395
